"";"Bogennummer";"Ort";"Longitude";"Latitude";"Typ"
"91";"22063";"Hundisburg";"11.39951";"52.24731";"u | ü"
"92";"22074";"Farsleben";"11.65499";"52.27548";"u | ü"
"93";"22083";"Reesen";"11.93747";"52.28307";"u | ü"
"94";"22092";"Paplitz";"12.23627";"52.27553";"u | ü"
"95";"22149";"Rätzlingen";"11.11387";"52.40093";"u | ü"
"96";"22172";"Burgstall";"11.69646";"52.40703";"u | ü"
"97";"22222";"Reislingen";"10.84171";"52.4211";"u | ü"
"98";"22249";"Roxförde";"11.40384";"52.43433";"u | ü"
"99";"22276";"Zabakuck";"12.21537";"52.45574";"u | ü"
"100";"22375";"Westerholz";"10.56262";"52.59885";"u | ü"
"101";"22384";"Tülau-Fahrenhorst";"10.87697";"52.57705";"u | ü"
"102";"22394";"Köbbelitz";"11.09553257";"52.58503126";"u | ü"
"103";"22407";"Schenkenhorst";"11.39427";"52.6017";"u | ü"
"104";"2242";"Naunienen";"20.70648261";"54.44337509";"u | ü"
"105";"22423";"Querstedt";"11.66397";"52.60153";"u | ü"
"106";"22453";"Grosswudicke";"12.231";"52.59371";"u | ü"
"107";"22636";"Rönnebeck";"11.63736";"52.76929";"u | ü"
"108";"22654";"Iden";"11.91213";"52.77979";"u | ü"
"109";"22667";"Kuhlhausen";"12.19465";"52.78429";"u | ü"
"110";"22685";"Proitze";"10.83564";"52.89159";"u | ü"
"111";"22796";"Wustrow (Wendland)";"11.11794";"52.92444";"u | ü"
"112";"22810";"Lomitz";"11.39455";"52.94488";"u | ü"
"113";"22819";"Jeggel";"11.64245";"52.9155";"u | ü"
"114";"22832";"Gross Lüben";"11.92033";"52.95775";"u | ü"
"115";"22846";"Görike";"12.2009";"52.94353";"u | ü"
"116";"22910";"Holthausen";"6.89919";"51.41868";"u | ü"
"117";"22931";"Dahlhausen";"7.14475";"51.42633";"u | ü"
"118";"22965";"Langeloh";"7.440652873";"51.45810976";"u | ü"
"119";"23184";"Holthausen bei Kirchhellen";"6.901533702";"51.5894299";"u | ü"
"120";"23191";"Herten";"7.13741";"51.59252";"u | ü"
"121";"23293";"Erle";"6.86433";"51.74642";"u | ü"
"122";"23402";"Holtwick";"7.13224";"51.75267";"u | ü"
"123";"23419";"Davensberg";"7.5934";"51.81826";"u | ü"
"124";"23453";"Stockum bei Coesfeld";"7.090871267";"51.94956678";"u | ü"
"125";"23466";"Nottuln";"7.35441";"51.92822";"u | ü"
"126";"23471";"Münster";"7.61785";"51.96303";"u | ü"
