Ort::Longitude;Ort::Latitude;Ort::REDE_GIDs;Ort::Sprache;Bogennummer;Ort::Name;Transliteration WS 36;Wortform WS 36;Stammvokal WS 36;Stammvokal Überprüfung;Kategorie;Anmerkungen WS36
10,59655;48,39991;88455;1;39710;ZUSMARSHAUSEN;Was sitzen da für Vögala doba auf deam Mäuerle?;Vögala;ö;;;
10,82614;48,41021;88843;1;39723;TￃﾄFERTINGEN;Was sitzet do für Vögela doba of dem Mäurle?;Vögela;ö;;;
11,09634;48,41371;72348;1;39742;GALLENBACH;Wos sitzn do für Vögl obn auf der Maur.;Vögl;ö;;;
11,35435;48,42974;73328;1;39865;HILGERTSHAUSEN;Wois sitzn dä für Vögl auf der Mauer;Vögl;ö;;;
11,59892;48,43114;72319;1;39880;ALLERSHAUSEN;Was sitzn da für Vögaln auf dem Mäuerl obn?;Vögaln;ö;;;
11,85874117;48,44110373;544547;1;39891;RAST;Wos sitzn do füa Vögaln auf dem Meirl?;Vögaln;ö;;;
12,10757;48,4469;87052;1;39901;VILSHEIM;Wos sĭtzn da͡o vüra Vögl o̰mat aufe Mēial (hell).;Vögl;ö;;;
12,62129;49,10828;82925;1;39954;SATTELBOGEN;Wos sitzn do füa Vögala om af den Maüerl.;Vögala;ö;;;
12,83618;49,11683;89344;1;39962;KRAILING;Wo͡as sand den dös füra Vögl dort dro'm auf'n Mäuerl?;Vögl;ö;;;
13,04039;49,10159;73289;1;39968;OBERRIED;Wos sitzntan doa für Vögl om a̰fn Mäal.;Vögl;ö;;;
12,34467;49,42629;85816;1;40000;PERTOLZHOFEN;Wos sitzen dou für Végala obn àfn Meiala.;Végala;é;;;
12,58351;49,43764;75007;1;40012;TIEFENBACH;Wos sitzn da für Vegala oben aufm Meiala?;Vegala;e;;;
12,61149;49,26579;76282;1;40047;PEMFLING;Wos sitzn dodl om für Vegl af dem Mäerl;Vegl;e;;;
12,81439;49,27324;72456;1;40057;ARNSCHWANG;Wo̰s sitzn do für Vēgãlȃ ōm āf'n̑ M̄ä=ȃlȃ?;Vēgãlȃ;ē;;;
12,59359;48,12803;81519;1;40112;WALD AN DER ALZ;Wos sitzen füa Vögal obn auf dem Mäuerl?;Vögal;ö;;;
12,33456;48,30807;77601;1;40137;RANOLDSBERG;Wos sitz'n da füar Vögaln ob'n auf'n Mäual.;Vögaln;ö;;;
12,57622;48,27659;88448;1;40145;ERHARTING;Wásfië Vögerl sitzn denn dá aufn Meiárl drobn?;Vögerl;ö;;;
12,87181;48,27722;82164;1;40155;GUMPERSDORF;Was sitze da für Vögel om auf der Mauer.;Vögel;ö;;;
12,35586;48,44847;93127;1;40191;VILSBIBURG;Was füa Vögl sitzn denn auf dá Mauá?;Vögl;ö;;;
12,56337;48,4371;80656;1;40202;GANGKOFEN;Wo͜as sitzn do͜a fü͜a Vögl om aufn Meial?;Vögl;ö;;;
12,84533;48,45503;90464;1;40212;NEUHOFEN;Wa̱s sitzen do̱h füa Vögal om aufm Meial?;Vögal;ö;;;
13,09117;48,44358;91891;1;40220;BAD BIRNBACH;Wos sitzn da füa Vögl'n obn auf da Maua?;Vögl'n;ö;;;
13,33631;48,43818;83577;1;40231;RUHSTORF AN DER ROTT;Was sitznd da für Vögal obm aufn Mäuerl.;Vögal;ö;;;
12,34456;48,62368;86881;1;40274;WￃﾖRTH AN DER ISAR;Wos sitznd den̄ da füa Vögal (a sehr hell) omat aufn Meial (a hell).;Vögal;ö;;;
12,57731;48,59899;89554;1;40286;GRIESBACH;Was sitzn da für Vögerl obm aufm Mäuerl?;Vögerl;ö;;;
12,82663;48,60642;73681;1;40297;INDERSBACH;Wos sitznd da fü(r) Vögal om auf da kloan Maua?;Vögal;ö;;;
13,07675;48,60848;89328;1;40308;WALCHSING;Was sitzn da für Vögl drobn aufm Mäuerl?;Vögl;ö;;;
13,32647;48,64583;73805;1;40320;KIRCHBERG;Wos sitzn do für Vögerln obm affm Maüerl.;Vögerln;ö;;;
13,59698;48,61501;75559;1;40331;HAAG;Wos knotzn da füa Vögei o(b)m afn Meierl?;Vögei;ö;;;
12,58848;48,75623;89926;1;40402;HANKOFEN;Was sitzn iatz do füa Vögarl af den Meierl drobm.;Vögarl;ö;;;
12,87113;48,77837;75653;1;40414;PLATTLING;Was sitzn da füa Vögerl dro(b)m ă(u)f dem Mäuerl.;Vögerl;ö;;;
13,09897;48,80355;91866;1;40420;AUERBACH;Wos sitz'n do füa Vögl om āfn Maiāl?;Vögl;ö;;;
13,35627;48,77431;84111;1;40428;SALDENBURG;Was sitzn den̄ da für an̰ Vög(er)al auf'n Maüerl?;Vög(er)al;ö;;;
13,58501;48,76475;84144;1;40439;KARLSBACH;Was sitzn dä füa Vögl obn afn Mäuerl?;Vögl;ö;;;
12,61304;48,95448;72278;1;40516;STEINACH;Wos sitz'n denn do für Vögerl auf dem Mäuerl?;Vögerl;ö;;;
12,80208;48,95084;85441;1;40524;PERASDORF;Wos sitz'n den da füȃ Vögl auf da Maua?;Vögl;ö;;;
13,12842;48,96849;73191;1;40531;REGEN;Wos sitz'n den̄ da füa Vögala omat (droben:) af'n Mäuerl?;Vögala;ö;;;
13,31941;48,92172;78467;1;40535;KLINGENBRUNN;Was sizzn denn da füa Vögal drom aufm Mäual?;Vögal;ö;;;
12,35085;48,91814;86464;1;40538;RIEKOFEN;Wos sitzn do füa Vögerl ob'n af'n Mäuerl?;Vögerl;ö;;;
9,68397;47,54611;79504;1;40597;LINDAU (BODENSEE);Was sitzend do fir Vegele oba uf deam Mīrle?;Vegele;e;;;
9,920912754;47,54890348;534361;1;40605;SCHNELLERS;Was sitzèt dō für Vögele ōbā ufm Mirlè?;Vögele;ö;;;
10,13498;47,56238;72151;1;40613;RATHOLZ;Was sitzĕt da fia̰r Vögélĕ oba uffem Mührlĕ?;Vögélĕ;ö;;;
8,18086;47,6336;133937;1;40637;ESCHBACH;Wa hocket dört oba uf dem Mürle für Vögeli?;Vögeli;ö;;;
8,42011;47,66108;129007;1;40655;ERZINGEN;Was sitzè do für Vögele obè uf dem Mǖrle?;Vögele;ö;;;
8,90035;47,68774;132354;1;40757;SCHIENEN;Was sitzet do für Vögele oba uf dem Mürle?;Vögele;ö;;;
9,146804618;47,69228556;546010;1;40771;WOLLMATINGEN;Wa sitzet do für Vögelé obe uf dem Mürle?;Vögelé;ö;;;
9,40004;47,69278;129179;1;40785;KLUFTERN;Was sind fo fir Vegilin uf dem Mirle oba.;Vegilin;e;;;
9,64125;47,6819;128674;1;40798;OBEREISENBACH;Was ho̮kit do̰ für Vöga̰lḭn uf dḛa̰m Mṵ̈rlḛ.;Vöga̰lḭn;ö;;;
9,89935;47,72211;129612;1;40807;RATZENRIED;Was sitzet (huckã̆t) då für Vogãlã urf deam Miãrle?;Vogãlã;o;;;
12,45354;52,93648;122057;1;4081;BANTIKOW;Watt sitten då vor lütt' Vä̊gel up der klein' Muer?;Vä̊gel;ä̊;;;
10,12658869;47,70975489;535603;1;40819;KREUZTHAL;Was sitzet dau für Vögala oba auf'm Mäurla?;Vögala;ö;;;
8,39596;47,82501;131887;1;40844;MÜNCHINGEN;Was ho̰cket dört für Vögăli uf sellem Mürli obă.;Vögăli;ö;;;
8,66036;47,81721;129798;1;40863;TENGEN;Was sitzat do für Vögeli uff dem Mürli oba.;Vögeli;ö;;;
9,13657;47,83337;129675;1;40898;BILLAFINGEN;Weo sizet de füe Vögalin, uf dem Müerle oben;Vögalin;ö;;;
12,74485;52,92901;123847;1;4093;KRￃﾄNZLIN;Wat sitt'n da för Vögelk'n bowen up de Mur?;Vögelk'n;ö;;;
8,8974;47,85806;130872;1;41018;EIGELTINGEN;Wa hocke do̱ für Vögeli obe uf em Mǖrli.;Vögeli;ö;;;
13,01943;52,93953;123243;1;4102;SEEBECK;Watt sitten da vör Vägelchen baven upp dett Mauerchen.;Vägelchen;ä;;;da: a relativ rudimentär
9,37456;47,86209;133733;1;41049;ILLMENSEE;Was sitzat dēt für Vögeli obe-n-uf dem Mürli?;Vögeli;ö;;;
9,66279;47,84325;133939;1;41057;BAINDT;Was sitzat do für Vögala oba auf dem Mürle doba?;Vögala;ö;;;
9,86355;47,89058;132320;1;41064;ZIEGELBACH;Was sitzat do füar Vögala dḕtt oba uff'm Mäuerle?;Vögala;ö;;;
10,13795;47,88954;91094;1;41076;MARIA STEINBACH;Was sitza̰t dau fiér Vöga̰la̰ doba̰ uf dem Mäurla̰.;Vöga̰la̰;ö;;;
8,16331;47,98172;132801;1;41086;WALDAU;Wa hocker do für Vögili ower uf dem̄ Mierli?;Vögili;ö;;;
8,38827;47,96002;133559;1;41098;HUBERTSHOFEN;Was sitza dò fir Vegalle oba uf am Mi(ü)rli? ;Vegalle;e;;;
8,63525;47,99144;133784;1;41114;ÖFINGEN;Wa sitzet do fer Vögile obe uf deam Müerle?;Vögile;ö;;;
13,28074;52,96653;124119;1;4112;KLEIN-MUTZ;Watt sitte doa färne Väjelchen boabn up dat Muerchen;Väjelchen;äj;;;
13,52861;52,99313;124065;1;4119;GROSS DￃﾖLLN;Wat sitten da vör ne Vägelkins boben upp det Müerkin.;Vägelkins;ä;;;
6,99386;47,7727;31069;1;41200;MASEVAUX;Was sitza dō fir Vegala owa uf dam Mirla?;Vegala;e;;;
7,15065;47,7618;25178;1;41214;ASPACH-LE-BAS;Was sitza do fir Vègala owa uf’m Mierla?;Vègala;è;;;
13,85918;52,933;119544;1;4123;SENFTENHￃﾜTTE;Watt sitten doar förr Vögeln boaben ub de Mure.;Vögeln;ö;;;
7,65665;47,78685;127959;1;41245;LIPBURG;Was sitzè do fir Vögeli obè uf dem Mièrle?;Vögeli;ö;;;
7,91301;47,80054;131987;1;41262;UTZENFELD;Was sitze do für Vögele uf em Mirle obe?;Vögele;ö;;;
8,177056956;47,79865784;546039;1;41275;SCHLUCHSEE - BLASIWALD;Wa sitzat do für schöni Vȫgili uf em Mǖrli ōba?;Vȫgili;ȫ;;;
7,37872;47,94354;23927;1;41296;OBERENTZEN;Was sétza̺ do fér Végala̺ owa̺ uf dam Mirla̺?;Végala̺;é;;;
7,64962;47,93629;133429;1;41309;FELDKIRCH;Was sitze do für Vögili obe uf ĕm Mürli?;Vögili;ö;;;
7,90831;47,96423;128554;1;41336;KAPPEL;Was sitza do für Vögele oba uf dem Mäüerle?;Vögele;ö;;;
6,95521;47,88255;27759;1;41351;URBÈS;Was fi̱r Vegele sitze do owene uffem Mirele.;Vegele;e;;;
7,15658;47,90483;32998;1;41365;RIMBACH-PRÈS-GUEBWILLER;Was sètza dō fĕ̀r Vègalḕ ōbă uf dăm Mirlḕ?;Vègalḕ;è;;;
14,35655;52,94545;152474;1;4142;STOKI;Wat sitten doa ver Väle bane up de Mure.;Väle;ä;;;
