"";"Bogennummer";"Ort..Name";"Ort..Longitude";"Ort..Latitude";"Typ"
"1";50844;"MIEDZYZDROJE";"14.44888";"53.92636";"o | ö"
"2";1009;"NOWY KLUKOM";"15.49524";"53.11481";"o | ö"
"3";1018;"LASKO K CHOSZCZNA";"15.78185";"53.08719";"o | ö"
"4";1023;"GOLIN";"16.08349";"53.12516";"o | ö"
"5";10275;"BADENHARD";"7.633";"50.12291";"o | ö"
"6";1029;"NIEKURSKO";"16.39581";"53.11234";"o | ö"
"7";1035;"STOBNO";"16.63215";"53.09276";"o | ö"
"8";1050;"KROSTKOWO";"17.19502";"53.11046";"o | ö"
"9";10974;"HAINDORF";"10.4237421";"50.7188194";"o | ö"
"10";110;"ROZPEDZINY";"18.9051";"53.70548";"o | ö"
"11";1133;"DEBENKE";"17.45996751";"53.22049833";"o | ö"
"12";1157;"BIELCZYNY";"18.56976";"53.2111";"o | ö"
"13";1162;"SIERAKOWO";"18.85888";"53.17872";"o | ö"
"14";1178;"SOKOLINIEC";"15.50003";"53.29161";"o | ö"
"15";1197;"PLOCICZNO";"16.12236";"53.27292";"o | ö"
"16";12037;"HILDBURGHAUSEN";"10.73533";"50.42423";"o | ö"
"17";12070;"NEUENBAU";"11.24222";"50.44197";"o | ö"
"18";1208;"WISSULKE (WIESIￃﾓￅﾁKA)";"16.62174662";"53.26616634";"o | ö"
"19";12167;"ALTENDAMBACH";"10.71167";"50.55906";"o | ö"
"20";12184;"ALTENFELD";"10.96068";"50.56467";"o | ö"
"21";1287;"KONOTOP";"15.82821";"53.44244";"o | ö"
"22";12921;"SACHSENBURG";"13.03963";"50.94183";"o | ö"
"23";1296;"ZABIN";"16.0857";"53.43147";"o | ö"
"24";1315;"KAMIEN";"16.93735";"53.43084";"o | ö"
"25";133;"SOSNOWO";"15.51756";"53.76575";"o | ö"
"26";1403;"DOBIESZEWO";"15.53822";"53.61301";"o | ö"
"27";1432;"RZEPOWO";"16.09713";"53.5926";"o | ö"
"28";14382;"WￃﾖLFELSDORF (WILKANￃﾓW)";"16.69625742";"50.24949279";"o | ö"
"29";1442;"LUBOWO";"16.3881";"53.58605";"o | ö"
"30";14537;"BIELICE";"17.00516";"50.27139";"o | ö"
"31";1461;"WEGORZEWO SZCZECINECKIE";"16.90083";"53.59936";"o | ö"
"32";14693;"DANNENFELS";"7.94492";"49.62669";"o | ö"
"33";14724;"MONSHEIM";"8.20454";"49.63649";"o | ö"
"34";15042;"NEU-BAMBERG";"7.92068";"49.79459";"o | ö"
"35";15066;"BECHTOLSHEIM";"8.19083";"49.80215";"o | ö"
"36";15137;"KAUTENBACH";"7.12694";"49.9156";"o | ö"
"37";15349;"ELLERN (HUNSRÜCK)";"7.64098";"49.98645";"o | ö"
"38";15365;"BINGEN AM RHEIN";"7.89616";"49.96901";"o | ö"
"39";15394;"FINTHEN";"8.1754";"49.98368";"o | ö"
"40";1540;"HEINRICHSWALDE";"21.69458052";"55.04244719";"o | ö"
"41";1571;"SCHMALLENINGKEN";"22.59096608";"55.07130157";"o | ö"
"42";1573;"GROￃﾟ DIRSCHKEIM (DONSKOYE)";"19.96594881";"54.93887292";"o | ö"
"43";158;"POLCZYN-ZDROJ";"16.09538";"53.76262";"o | ö"
"44";1588;"ALT SUSIMILKEN (TARASSOWKA)";"21.36986045";"54.92959481";"o | ö"
"45";1664;"LABAGIENEN/HAFFWINKEL (ZALIVINO)";"21.06375338";"54.89622754";"o | ö"
"46";1708;"BALTRUSCHATSCHEN (JAKOVLEVO)";"22.22011308";"54.8699569";"o | ö"
"47";17309;"HILBETEN";"16.39993838";"49.94474447";"o | ö"
"48";1741;"POJERSTIETEN (KOLODCY)";"20.16992129";"54.80001676";"o | ö"
"49";1747;"BEYDRITTEN (PERVOMAJSKIJ)";"20.50003508";"54.76991096";"o | ö"
"50";17659;"BERNHAU (BARNOV)";"17.6829573";"49.73318935";"o | ö"
"51";17854;"IRSCHING (JIￅﾘￃﾍN)";"15.46916346";"49.43296588";"o | ö"
"52";17956;"PRAHLITZ (PRAVLOV)";"16.48229302";"49.05485994";"o | ö"
"53";180;"GALOWO";"16.69276";"53.74786";"o | ö"
"54";18135;"RUDOLFSTADT (RUDOLFOV)";"14.53884842";"48.99293587";"o | ö"
"55";18310;"OBERSTRAHLBACH";"15.1154";"48.63319";"o | ö"
"56";18364;"HAFNERLUDEN (LUBNICE)";"15.61331894";"48.93919862";"o | ö"
"57";1842;"WARUPￃﾖNEN (FￃﾋDOROVKA)";"22.81669606";"54.80000132";"o | ö"
"58";185;"JELNIA";"16.96984";"53.75059";"o | ö"
"59";18554;"OBERDÜRNBACH";"15.84912";"48.58705";"o | ö"
"60";18637;"SAITZ (ZAJECￃﾍ)";"16.76723342";"48.8738553";"o | ö"
"61";18642;"HￃﾖFLEIN AN DER THAYA (HEVLￃﾍN)";"16.38060332";"48.75125755";"o | ö"
"62";18686;"BERNHARDSTHAL";"16.86919";"48.69199";"o | ö"
"63";18701;"PYHRA";"16.38001";"48.59086";"o | ö"
"64";18767;"KRICKERHￃﾄU (HANDLOVￃﾁ)";"18.75578607";"48.72212455";"o | ö"
"65";1919;"GROￃﾟ GERLAUKEN (VJAZOVKA)";"21.93005406";"54.69998961";"o | ö"
"66";19257;"ALTENMARKT";"15.06545";"48.28211";"o | ö"
"67";19301;"ELS";"15.37385";"48.44265";"o | ö"
"68";19322;"FELS AM WAGRAM";"15.81873";"48.4378";"o | ö"
"69";19401;"SCHￃﾖNBￃﾜHEL AN DER DONAU";"15.37381";"48.25755";"o | ö"
"70";19404;"KARLSTETTEN";"15.56514";"48.25859";"o | ö"
"71";19492;"STOLLBERG-SIEDLUNG";"15.862";"48.08457";"o | ö"
"72";1962;"BERGAU (TZWETKOWO)";"20.42971236";"54.62002257";"o | ö"
"73";19646;"RAASDORF";"16.56927";"48.24529";"o | ö"
"74";19657;"BREITENSEE";"16.87702";"48.24132";"o | ö"
"75";19696;"KITTSEE";"17.06565";"48.09174";"o | ö"
"76";19726;"ROHRAU";"16.85904";"48.06596";"o | ö"
"77";1987;"PREGELSWALDE (-)";"21.02997097";"54.6200058";"o | ö"
"78";20046;"KLEINREIFLING";"14.63986";"47.82049";"o | ö"
"79";20361;"SETLAGE";"7.575270716";"52.47498927";"o | ö"
"80";20370;"MERZEN";"7.82957";"52.47625";"o | ö"
"81";20454;"GEESTE";"7.26965";"52.60078";"o | ö"
"82";20555;"HÜVEN";"7.5504";"52.78572";"o | ö"
"83";20562;"GAREN";"7.78096";"52.81598";"o | ö"
"84";20589;"NEUDERSUM";"7.23473";"52.97142";"o | ö"
"85";20596;"NEUBÖRGER";"7.44966";"52.95796";"o | ö"
"86";20604;"GARREL";"8.02414";"52.95515";"o | ö"
"87";20638;"VISBEK";"8.31184";"52.83661";"o | ö"
"88";20710;"WIETZENDORF";"9.97514";"52.91878";"o | ö"
"89";20753;"MAGELSEN";"9.16808";"52.87499";"o | ö"
"90";20774;"VIERDE";"9.7293";"52.88191";"o | ö"
"91";20788;"SCHMARBECK";"10.20256";"52.8993";"o | ö"
"92";20798;"BRÜMSEN";"8.64481";"52.82247";"o | ö"
"93";20891;"DÖRPEL";"8.58443";"52.67101";"o | ö"
"94";20901;"MAASEN";"8.88406";"52.69239";"o | ö"
"95";20917;"DRAKENBURG";"9.21314";"52.68797";"o | ö"
"96";20920;"UNTERRODEWALD";"9.481851913";"52.66567501";"o | ö"
"97";20936;"HASSEL";"9.98769";"52.73449";"o | ö"
"98";20946;"SCHARNHORST";"10.27333";"52.72449";"o | ö"
"99";21024;"BURLAGE";"8.37572";"52.50909";"o | ö"
"100";21045;"BROKELOH";"9.20944";"52.54802";"o | ö"
"101";21050;"EMPEDE";"9.46636";"52.53603";"o | ö"
"102";21065;"GAILHOF";"9.76477";"52.55174";"o | ö"
"103";21074;"ADELHEIDSDORF";"10.0574";"52.56429";"o | ö"
"104";21085;"NORDBURG";"10.28391";"52.57727";"o | ö"
"105";211;"RODOWO";"19.21069";"53.82183";"o | ö"
"106";21218;"WIETERSHEIM";"8.95277";"52.33325";"o | ö"
"107";21235;"HÜLSHAGEN";"9.21751";"52.36874";"o | ö"
"108";21280;"LIST";"9.75132";"52.3891";"o | ö"
"109";21295;"IMMENSEN";"10.06143";"52.39489";"o | ö"
"110";21305;"VOIGTHOLZ-AHLEMISSEN";"10.32142";"52.39354";"o | ö"
"111";2135;"SKUNGIRREN (PEN'KI)";"21.62013419";"54.57005281";"o | ö"
"112";21429;"NETTE";"10.08174";"52.038";"o | ö"
"113";2145;"KURSCHEN (KUZ'MINO)";"21.88330517";"54.51668997";"o | ö"
"114";21611;"SCHWEICHELN-BERMBECK";"8.6718";"52.15733";"o | ö"
"115";21632;"VELTHEIM";"8.9677";"52.18788";"o | ö"
"116";21882;"BODENSTEDT";"10.3324";"52.22627";"o | ö"
"117";21902;"RAUTHEIM";"10.58483";"52.24025";"o | ö"
"118";22044;"ROTTORF";"10.84096";"52.25623";"o | ö"
"119";22063;"HUNDISBURG";"11.39951";"52.24731";"o | ö"
"120";22074;"FARSLEBEN";"11.65499";"52.27548";"o | ö"
"121";22083;"REESEN";"11.93747";"52.28307";"o | ö"
"122";22111;"WASBￃﾜTTEL";"10.59431";"52.41361";"o | ö"
"123";22149;"RￃﾄTZLINGEN";"11.11387";"52.40093";"o | ö"
"124";2216;"HERMSDORF (POGRANIￄﾌNYJ)";"20.17466577";"54.43254804";"o | ö"
"125";22172;"BURGSTALL";"11.69646";"52.40703";"o | ö"
"126";22222;"REISLINGEN";"10.84171";"52.4211";"o | ö"
"127";22249;"ROXFￃﾖRDE";"11.40384";"52.43433";"o | ö"
"128";22264;"GRIEBEN";"11.96126";"52.44002";"o | ö"
"129";22276;"ZABAKUCK";"12.21537";"52.45574";"o | ö"
"130";22375;"WESTERHOLZ";"10.56262";"52.59885";"o | ö"
"131";22384;"TￃﾜLAU-FAHRENHORST";"10.87697";"52.57705";"o | ö"
"132";22574;"MASEL";"10.5153";"52.75135";"o | ö"
"133";22581;"HￃﾖDDELSEN";"10.82391";"52.78033";"o | ö"
"134";22636;"RￃﾖNNEBECK";"11.63736";"52.76929";"o | ö"
"135";22654;"IDEN";"11.91213";"52.77979";"o | ö"
"136";22667;"KUHLHAUSEN";"12.19465";"52.78429";"o | ö"
"137";22685;"PROITZE";"10.83564";"52.89159";"o | ö"
"138";22773;"HOLDENSTEDT";"10.52559";"52.92076";"o | ö"
"139";22796;"WUSTROW (WENDLAND)";"11.11794";"52.92444";"o | ö"
"140";22819;"JEGGEL";"11.64245";"52.9155";"o | ö"
"141";22832;"GROSS LￃﾜBEN";"11.92033";"52.95775";"o | ö"
"142";22846;"GￃﾖRIKE";"12.2009";"52.94353";"o | ö"
"143";23031;"RHEINBERG";"6.6022";"51.54559";"o | ö"
"144";23271;"KEHRUM";"6.33914";"51.70982";"o | ö"
"145";2338;"WENSLOWISCHKEN (VOZNESENSKOYE)";"22.66645761";"54.4857982";"o | ö"
"146";23419;"DAVENSBERG";"7.5934";"51.81826";"o | ö"
"147";23498;"HEMDEN";"6.59361";"51.87915";"o | ö"
"148";23507;"WESEKE";"6.85711";"51.90792";"o | ö"
"149";23873;"VALBERT";"7.75338";"51.12";"o | ö"
