Ort::REDE_GIDs;Ort::Longitude;Ort::Latitude;Ort::Erhebung;Ort::Sprache;Bogennummer;Ort::Name;WS16: Adjektivform Positiv;WS16: Stammvokal Positiv;WS16: Adjektivform Komparativ;WS16: Stammvokal Komparativ;Transliteration WS16
547885;14,6799315;52,59997004;1;1;3711;WARNICK (WARNIKI);grot;o;grötter;ö;Du bist na nich grot genung, um eene Flasche Wien uttudrinken, Du mußt irscht no een Enge wassen un grötter wärren.
132924;8,37655;48,16035;4;1;37119;BUCHENBERG;groß;o;größă;ö;Du bisch no net groß gnuăg, um den Schlegl voll Wḭ usz’drinka, musch no me wāsă un größă werdă.
129752;8,6275;48,16786;4;1;37138;ROTTWEIL;grauß;au;;;Dou bischt no nit grauß gnuag, um a Flascha Wie ausztrinkit, dou moscht zerscht no äpis waxsa.
132412;8,86282;48,16319;4;1;37153;OBERNHEIM;graus;au;graißer;ai;Dou bischt noit graus zum a Flascha Wa̰i austrinka, da most no iabas graißer wära.
385626;14,95374;52,62138;1;1;3722;ZASZCZYTOWO;groß;o;großer;o;Du bist noch nich groß genuch, um eine Flasche Wein auszutrinken, du must erst noch en Ende wachsen und großer warden
128051;9,11728;48,17723;4;1;37302;WINTERLINGEN;grauß;au;graißr;ai;Du bischt n̰o̰ et grauß gnu͜eg, daß du a Flascha Wa̰ḭ austrenka ka̰scht, du mu͜escht aischt n̰o̰ a weng wa̅sa ond graißr we͡ara.
131215;9,35367;48,20566;4;1;37314;DÜRRENWALDSTETTEN;grauß;au;graißer;ai;Du bist noit grauß gnuag, um a Flascha Wei austrinkat, du muaßt aischt no eabes wa̲se u. graißer wäara.
132414;9,6255;48,21166;4;1;37333;HAUSEN AM BUSSEN;groṵß;oṵ;grḛḭßer;ḛḭ;Du bist no nitt groṵß gnug, uma Flasche Wain ausztrinket, Du muaßt erst no ebes wachsa & grḛḭßer werda.
128322;9,8845;48,20597;4;1;37354;BAUSTETTEN;grauß;au;graißer;ai;Du bist noit grauß gnua, a Fläscha Wei z'trinket, du moscht mischt no eppes waksa und graißer wära.
81585;10,10404;48,22279;4;1;37369;ILLERTISSEN;groaß;oa;greaßer;ea;Du bischt noit groaß gnua, um a Fläsch Wai auszdringa, Du muaschd erscht no öbbis wachsa u. greaßer wera!
129571;8,37253;48,31105;4;1;37388;SCHENKENZELL;gro̰hs;o̰h;grǟhser;ǟh;Da̰u bisch no nit gro̰hs gnueg, um [Blatt abgerissen!] Flasch Wei auszdringge, da̰u muesch zersch no mè wāse u. grǟhser wǟre.
130666;8,57013;48,31544;4;1;37401;AISTAIG;grauß;au;graißer;ai;Dau bischt no net grauß gnuag, a Flasch Wei aus z'trinka, Dau muascht zerschta no mai wahse und graißer wera.
393038;15,18918;52,60977;1;1;3744;RUDNICA;grauß;au;gresser;e;Du bist nô ne groß jenung um ene Flasche Wein auszedrinken, du mußt erscht no en Endeken wachsen un gresser waren.
128030;8,81662;48,35457;4;1;37555;STETTEN BEI HAIGERLOCH;grauß;au;graißer;au;Da̰ṵ bischt noneit grauß gnug, umma Flasch Wa̰i ausztrinket, Dau muscht no mai wāsa und graißer wäa̰ra.
133459;9,12013;48,35833;4;1;37571;SALMENDINGEN;grauß;au;graiß'r;ai;Du bischt no itt grauß g'nuag, um a Flascha Wei ausz'drinket, Du muascht aischt no oibas waaßa und graiß'r wäara.
132598;9,33549;48,3568;4;1;37581;BERNLOCH;grauß;au;gräußer;äu;Du bist no et grauß gnuag, daß da̰ kḛhtest a̰ Butell (Flasch) Wḛi austrenka̰. du muast mai wahsa̰ un gräußer wèra̰.
129053;9,60621;48,37705;4;1;37598;GUNDERSHOFEN;grauß;au;graißer;ai;Du bischt noit grauß gnua um a Flasch Weḭ aus z'trenket, du muaßt no ebbes wachse u graißer wére.
128359;9,87924;48,36355;4;1;37607;EGGINGEN;grauß;au;graißer;ai;Du bischt no it grauß gnua, um a Flasch Wḛi ausztrinket, Du muãschtno mai wagsa u. graißer wḛara.
