Bogennummer;REDE_Namen;Longitude;Latitude;REDE_GIDs;Sprache;Herkunft;WS22::Transliteration WS22;WS22: Adjektivform;WS22: Stammvokal;WS31::Transliteration WS31;WS31: Adjektivform;WS31: Stammvokal
31700;Ramberg;8,00924;49,26181;95870;1;Marburg;Mer muß arig laut kreische, sunscht verschteht er uns net. (verstiehn sie);laut;au;Ich verschteh euch net, ehr müßt e bissel laurer schpreche (müßt eppes laurer rerre).;laurer;au
31719;Geinsheim;8,25607;49,30486;98557;1;Marburg;Mann muß laut kreische, sunnscht versteht er uns net.;laut;au;Ich versteh euch nett, ehr mussn e bissel lauter plaudere.;lauter;au
31737;Diedenhofen;6,16901;49,35763;522565;1;Marburg;Mer muß hart jeizen soß verstēht en uus net.;hart;a;Ech verste͡jn ech net d'r muscht e wenig härter schwätzen.;härter;ä
31765;Laumesfeld;6,44506;49,36868;35323;1;Marburg;Mr mutt hart jeizen, sos, verschtäht ènn us nétt.;hart;a;Ech verstein éch nétt, d'r muscht e weinig mei hart schwätzen.;hart;a
31789;Beckingen;6,70066;49,39426;99134;1;Marburg;Mer moß hart gräähschen, sonscht verschtet er us net.;hart;a;Ich verstehn äg nett, derr mossen önn Besselchen härter schwätzen.;härter;ä
31800;Calmesweiler;6,95094;49,41341;98246;1;Marburg;Mr mauß hart gräschen soscht versteht 'r us nett.;hart;a;Eich versten uch nett d'r moßen härter schwäzen.;härter;ä
31824;Steinbach bei Ottweiler;7,21036;49,40694;96789;1;Marburg;Mer muß laut schreie, sunscht verschterer uns nett.;laut;au;Eich verschtehn auch nett, ehr müßt e' bißchen laurer schbroche.;laurer;au
32019;Dietschweiler;7,453633274;49,44090624;534156;1;Marburg;Man muß laut schreien, sonst versteht er uns nicht.;laut;au;Ich verstehe euch net, ihr müßt ein Bißchen lauter sprechen!;lauter;au
32040;Siegelbach;7,69141;49,47033;95390;1;Marburg;Mer muß laut kreische, sunscht versteht eem net.;laut;au;Ich versteh euch net, ehr müßt een bißche laurer plaurere.;laurer;au
32053;Alsenborn;7,938705171;49,49097128;534148;1;Marburg;Mán muß laut kreische, sunscht verstehre uns net.;laut;au;Ich versteh euch net, ehr müssen e bische lauter spreche.;lauter;au
32067;Erpolzheim;8,22634;49,48944;100047;1;Marburg;Mrr muß laut kreische, schunscht versteht er uns nett.;laut;au;Ich versteh euch net, ehr müssen e bissel lauter plaurere.;lauter;au
32085;Kreuzweiler;6,40407;49,5531;99746;1;Marburg;Ma mous hort jeizen, sos besteit en s net.;hort;o ;I'ch b'stin ech net, d'r moußt e'beschen horder schwätzen;horder;o 
32102;Greimerath;6,68176;49,56202;99897;1;Marburg;Mä mus hat kräschen, sos berstät n es net.;hat;a;Ech besten ech net, dr mist e beschen hatter sprochen.;hatter;a
32119;Oberlöstern;6,92447;49,57302;96919;1;Marburg;M'r muß (hart) laut schreien, sonscht versteht er uus net.;laut;au;Eich verstehn auch net, d'r müßt en Beschen lauter (harter) sprechen (schwätzen).;lauter;au
324;Podwilcze;15,82486;53,93499;370644;1;Marburg;Ma mutt luur schrige, süste vasteht hei o͡us nich.;luur;uu;Ick vastau jo͡ug nich, ji meute e bitzke luure räre (spräke).;luure;uu
3254;Jurkowo;21,20504;54,0744;159092;1;Marburg;Man mot lud schriea, sonst fastäht ä ons nicht;lud;u;Ök fa stoh juh nicht, juh motte böhkke luda röde;luda;u
3267;Pozarki;21,49172;54,03376;153053;1;Marburg;Man mott lut schrie, sonst verschteit er ons nuscht.;lut;u;Ek verschtoh ju nich, ju motte beßke luter spräke.;luter;u
3272;Gawliki Wielkie;22,10641;54,0154;158788;1;Marburg;Man mott lut schriee, sonst versteit he onns nich.;lut;u;Eck verstoh ju nich, ju motte beske lutter spräke.;lutter;u
3280;Swietajno;22,3218;53,99686;371988;1;Marburg;Man mott lut schrige, sonst verschteiht he ons nicht.;lut;u;Ek verschtoh ju nich, ju motte een beske luter schpreeke.;luter;u
