Adjektiv;Umlaut Standard;Stammvokal Standard;Silbenzahl Standard;Auslaut Standard;Auslaut Standard vereinfacht;Kommentar Auslaut Standard;Frequenz;Klasse;Quelle;Typ;Adjektiv VA;Silbenzahl VA;Stammvokal VA;Auslaut VA;Auslaut VA vereinfacht;Umlaut VA;Umlaut Jutz;Zitation Jutz;Kommentar Jutz
toll;nein;o;1;S;C;;4;13;Ruoff;;toll;1;o;S;C;nein;;Jutz 1, 579 ;keine Angabe zum UL
zahm;nein;a;1;S;C;;4;13;Ruoff;;zahm;1;a;S;C;nein;;Jutz 2, 1676–1677 ;kein Angabe zum UL
flott;nein;o;1;C;C;;4;13;Ruoff;;flott;1;o;C;C;nein;;;
vorder;nein;o;2;R;R;;4;13;Ruoff;;vorder;2;o;R;R;nein;teilweise ;Jutz 1, 970;Superlativ mit Umlaut belegt
schlau;nein;au;1;kAL;kAL;;3;14;Ruoff;;schlau;1;au;kAL;kAL;ja;ja;Jutz 2, 944;
schmal;ja;a;1;S;C;;3;14;Ruoff;;schmal;1;a;S;C;ja;ja ;Jutz 2, 975 ;
stolz;nein;o;1;SC;CC;;3;14;Ruoff;;stolz;1;o;SC;CC;nein;;Jutz 2, 1321;keine Angabe zum UL
stumm;nein;u;1;C;C;;3;14;Ruoff;;stumm;1;u;S;C;ja;;Jutz 2, 1370 ;keine Angabe zum UL
braun;nein;au;1;S;C;;2;14;Ruoff;;bruu;1;u;kAL;kAL;ja;;Jutz 1, 437 ;keine Angabe zum UL
flau;nein;au;1;kAL;kAL;;2;14;Ruoff;;flau;1;au;kAL;kAL;nein;;;nicht belegt
satt;nein;a;1;C;C;;2;14;Ruoff;;satt;1;a;C;C;nein;;;nicht belegt
schlapp;nein;a;1;C;C;;2;14;Ruoff;;schlapp;1;a;C;C;nein;;;nicht belegt
zart;nein;a;1;SC;CC;;2;14;Ruoff;;zart;1;a;SC;CC;nein;;Jutz 2, 1683–1684;keine Angabe zum UL
pudelnass;nein;a;3;M;M;;2;14;Ruoff;;pudelnass;2;a;M;M;nein;;;nicht belegt
stur;nein;u;1;S;C;;2;14;Ruoff;;stur;1;u;R;R;nein;;;nicht belegt
unterst;nein;u;2;M;M;;2;14;Ruoff;;unterscht;2;u;M;M;ja;;;nicht belegt
blank;nein;a;1;SC;CC;;1;15;Ruoff;;blank;1;a;SC;CC;nein;;Jutz 1, 371;keine Angabe zum UL
grau;nein;au;1;kAL;kAL;;1;15;Ruoff;;grau;1;au;kAL;kAL;nein;;Jutz 1, 1233;keine Angabe zum UL
hohl;nein;o;1;S;C;;1;15;Ruoff;;hohl;1;o;S;C;ja;;Jutz 1, 1426;keine Angabe zum UL
krass;nein;a;1;C;C;;1;15;Ruoff;;krass;1;a;C;C;nein;;;nicht belegt
schade;nein;a;2;R;R;;1;15;Ruoff;;schad;1;a;C;C;;;;"Nur als Derivationen: schadhaft (Sp. 854); schadenfroh (S. 853)"
